Go.	Va !
You're very understanding.	Vous êtes très compréhensif.
You're very understanding.	Vous êtes très compréhensive.
You're very understanding.	Vous êtes très compréhensifs.
You're very understanding.	Vous êtes très compréhensives.
You're very understanding.	Tu es très compréhensif.
You're very understanding.	Tu es très compréhensive.
You're very understanding.	Tu es fort compréhensif.
You're very understanding.	Tu es fort compréhensive.
You're wearing my pajamas.	Tu portes mon pyjama.
You're wrong in this case.	Tu as tort dans ce cas.
You're wrong in this case.	Vous avez tort dans ce cas.
You've done a lot of good.	Vous avez fait beaucoup de bien.
You've misspelled my name.	Vous avez écorché mon nom.
You've misspelled my name.	Tu as écorché mon nom.
You've underestimated Tom.	Tu as sous-estimé Tom.
You've underestimated Tom.	Vous avez sous-estimé Tom.
Your English is improving.	Ton anglais fait des progrès.
Your English is improving.	Votre anglais s'améliore.
Your boyfriend looks cute.	Ton petit ami a l'air mignon.
Your boyfriend looks cute.	Votre petit ami a l'air mignon.
Your father is quite tall.	Votre père est plutôt grand.
Your house needs painting.	Ta maison aurait besoin d'être peinte.
Your house needs painting.	Votre maison a besoin d'un coup de peinture.
Your letter made me happy.	Ta lettre m'a rendu heureux.
Your letter made me happy.	Ta lettre m'a rendue heureuse.
Your lives will be spared.	Vos vies seront épargnées.
Your plan seems excellent.	Ton plan semble excellent.
Your watch is on the desk.	Ta montre est sur le bureau.
Your watch is on the desk.	Ta montre se trouve sur le bureau.
3 to the third power is 27.	La troisième puissance de 3 est 27.
A crow is as black as coal.	Le corbeau est aussi noir que du charbon.
A cry arose from the crowd.	Un cri s'éleva de la foule.
A few minutes is all I ask.	Je demande juste quelques minutes.
A heavy rain began to fall.	Une averse commença à tomber.
A major is above a captain.	Un major est au-dessus d'un capitaine.
A man appeared at the door.	Un homme est apparu à la porte.
A minute has sixty seconds.	Une minute comprend soixante secondes.
A mist hung over the river.	Le brouillard flottait au-dessus de la rivière.
A scream broke the silence.	Un cri brisa le silence.
A shiver ran down my spine.	Un frisson parcourut ma colonne vertébrale.
A student wants to see you.	Un étudiant veut te voir.
A wink was his only answer.	Un clin d'œil fut sa seule réponse.
Above all, watch your diet.	Par-dessus tout, fais attention à tes repas.
Add 5 and 2, and you get 7.	Cinq plus deux égalent sept.
Add a bit of sugar, please.	Ajoute un peu de sucre, s'il te plaît.
Airplanes land at airports.	Les avions se posent dans les aéroports.
Airplanes land at airports.	Ce sont les avions qui se posent dans les aéroports.
All at once, I heard a cry.	Tout à coup, j'entendis un cri.
All is well that ends well.	Tout est bien qui finit bien.
All of our attempts failed.	Toutes nos tentatives ont échoué.
All of the dogs were alive.	Tous les chiens étaient en vie.
All of us got into the car.	Nous sommes tous montés dans la voiture.
All the seats are occupied.	Tous les fauteuils sont occupés.
All the stores were closed.	Tous les magasins étaient fermés.
All the stores were closed.	Toutes les boutiques étaient fermées.
All's fair in love and war.	En amour comme à la guerre, tous les coups sont permis.
Almost no one believed her.	Presque personne ne la croyait.
Almost no one believed her.	Pratiquement personne ne la crut.
Almost no one believed her.	Pratiquement personne ne l'a crue.
Almost no one believed him.	Presque personne ne le croyait.
Almost no one believed him.	Presque personne ne le crut.
Almost no one believed him.	Presque personne ne l'a cru.
Am I interrupting anything?	Est-ce que j'interromps quelque chose ?
Am I interrupting anything?	Est-ce que j'interromps quoi que ce soit ?
Am I supposed to thank you?	Suis-je supposé te remercier ?
Am I supposed to thank you?	Suis-je supposée te remercier ?
Am I supposed to thank you?	Suis-je supposé vous remercier ?
Am I supposed to thank you?	Suis-je supposée vous remercier ?
An apple fell off the tree.	Une pomme tomba de l'arbre.
An apple sits on the table.	Il y a une pomme sur la table.
An apple sits on the table.	Il y a une pomme sur le bureau.
Animals are afraid of fire.	Les animaux ont peur du feu.
Anybody can make a mistake.	Tout le monde peut faire une erreur.
Anybody can make a mistake.	Tout le monde peut faire des erreurs.
Anybody can make a mistake.	N'importe qui peut commettre une erreur.
Anyway, I'll take a chance.	Quoi qu'il arrive, je prendrai le risque.
Are cats smarter than dogs?	Les chats sont-ils plus intelligents que les chiens ?
Are cats smarter than dogs?	Est-ce que les chats sont plus intelligents que les chiens ?
Are the children at school?	Les enfants sont-ils à l'école?
Are you a Japanese citizen?	Êtes-vous citoyen japonais ?
Are you a Japanese citizen?	Êtes-vous citoyenne japonaise ?
Are you a Japanese student?	Êtes-vous un étudiant japonais ?
Are you a cop or something?	T'es flic ou quoi ?
Are you a cop or something?	Vous êtes flic ou quoi ?
Are you a registered voter?	Êtes-vous un électeur inscrit ?
Are you a registered voter?	Êtes-vous une électrice inscrite ?
Are you a registered voter?	Es-tu un électeur inscrit ?
Are you a registered voter?	Es-tu une électrice inscrite ?
Are you afraid of the dark?	Avez-vous peur du noir ?
Are you afraid of the dark?	As-tu peur du noir ?
Are you afraid of the dark?	Avez-vous peur de l'obscurité ?
Are you afraid of the dark?	As-tu peur de l'obscurité ?
Are you certain about this?	En es-tu certaine ?
Are you certain about this?	En es-tu certain ?
Are you certain about this?	En êtes-vous certain ?
Are you certain about this?	En êtes-vous certaine ?
Are you certain about this?	En êtes-vous certaines ?
Are you certain about this?	En êtes-vous certains ?
Are you children all right?	Vos enfants vont-ils bien ?
Are you children all right?	Tes enfants vont-ils bien ?
Are you children all right?	Vos enfants se portent-ils bien ?
Are you children all right?	Tes enfants se portent-ils bien ?
Are you coming to my party?	Viens-tu à ma fête ?
Are you coming to my party?	Venez-vous à ma fête ?
Are you drinking green tea?	Est-ce que c'est du thé vert que vous buvez ?
Are you feeling better now?	Te sens-tu mieux maintenant?
Are you going much farther?	Vous rendez-vous beaucoup plus loin ?
Are you going much farther?	Te rends-tu beaucoup plus loin ?
Are you going to come back?	Vas-tu revenir ?
Are you going to come back?	Allez-vous revenir ?
Are you going to go or not?	Allez-vous vous y rendre ou pas ?
Are you going to sing here?	Vas-tu chanter ici ?
Are you going to sing here?	Allez-vous chanter ici ?
Are you going to stay long?	Allez-vous rester longtemps ?
Are you having a good time?	Passes-tu du bon temps ?
Are you having a good time?	Passez-vous du bon temps ?
Are you implying something?	Est-ce que tu sous-entends quelque chose ?
Are you implying something?	Qu'est-ce que tu sous-entends ?
Are you old enough to vote?	Avez-vous l'âge de voter ?
Are you over your cold yet?	T'es-tu déjà remis de ton rhume ?
Are you over your cold yet?	T'es-tu déjà remise de ton rhume ?
Are you over your cold yet?	Vous êtes-vous déjà remis de votre rhume ?
Are you over your cold yet?	Vous êtes-vous déjà remise de votre rhume ?
Are you ready for the trip?	Êtes-vous prêt pour le voyage ?
Are you ready for the trip?	Êtes-vous prête pour le voyage ?
Are you ready for the trip?	Êtes-vous prêts pour le voyage ?
Are you ready for the trip?	Êtes-vous prêtes pour le voyage ?
Are you ready for the trip?	Es-tu prêt pour le voyage ?
Are you ready for the trip?	Es-tu prête pour le voyage ?
Are you really that stupid?	Êtes-vous vraiment si stupide ?
Are you really that stupid?	Es-tu vraiment si stupide ?
Are you saying I smell bad?	Tu veux dire que je sens mauvais?
Are you seeing anybody now?	Vois-tu qui que ce soit en ce moment ?
Are you seeing anybody now?	Voyez-vous qui que ce soit en ce moment ?
Are you staying for dinner?	Restez-vous pour dîner ?
Are you staying for dinner?	Restez-vous dîner ?
Are you staying for dinner?	Restes-tu pour dîner ?
Are you staying for dinner?	Restes-tu dîner ?
Are you still playing golf?	Tu joues toujours au golf ?
Are you still playing golf?	Vous jouez toujours au golf ?
Are you studying chemistry?	Étudiez-vous la chimie ?
Are you studying chemistry?	Étudies-tu la chimie ?
Are you sure of your facts?	Êtes-vous sûrs de vos faits ?
Are you watching carefully?	Regardes-tu attentivement ?
Are you watching carefully?	Regardez-vous attentivement ?
Are your children with you?	Est-ce que tes enfants sont avec toi?
As it is, I can do nothing.	En l'état, je ne peux rien faire.
Ask him the way to station.	Demande-lui le chemin pour la gare.
At last, I passed the test.	Finalement j'ai réussi l'examen.
At what time does it close?	À quelle heure ça ferme ?
Bad teeth often cause pain.	Les dents cariées font souvent mal.
Bad weather is no obstacle.	Le mauvais temps n'est jamais un obstacle.
Banks open at nine o'clock.	Les banques ouvrent à neuf heures.
Basketball is a lot of fun.	Le basket-ball est très distrayant.
Batteries are not included.	Les piles ne sont pas incluses.
Be as specific as possible.	Soyez aussi précis que possible.
Be as specific as possible.	Sois aussi spécifique que possible.
Be careful with my luggage.	Fais attention avec mes bagages.
Be careful with my luggage.	Faites attention avec mes bagages.
Be sure to bring rain gear.	Assure-toi de prendre une tenue pour la pluie !
Beautiful woman, isn't she?	Belle femme, n'est-ce pas ?
Beef is expensive nowadays.	De nos jours, la viande est chère.
Bees provide us with honey.	Les abeilles nous fournissent en miel.
Best wishes from all of us.	Meilleurs vœux de notre part à tous.
Beware of pickpockets here.	Attention aux voleurs ici.
Beware of pickpockets here.	Attention aux pickpockets dans ce lieu.
Blotting paper absorbs ink.	Le papier buvard absorbe l'encre.
Both of them are very cute.	Ils sont tous deux très mignons.
Both spellings are correct.	Les deux façons d'écrire sont correctes.
Both spellings are correct.	Les deux orthographes sont correctes.
Boxers need quick reflexes.	Les boxeurs ont besoin de réflexes rapides.
Boys are strange sometimes.	Les garçons sont parfois étranges.
Boys, don't make any noise.	Les garçons, ne faites pas de bruit.
Bring the frozen fish here.	Apportez ici le poisson surgelé.
Brush your teeth every day.	Brosse-toi les dents chaque jour.
Busy hands are happy hands.	Les mains occupées sont des mains heureuses.
By the way, what do you do?	Au fait, quel est votre métier ?
Call us when you get there.	Appelle-nous lorsque tu y arriveras !
Call us when you get there.	Appelez-nous lorsque vous y arriverez !
Can I borrow this umbrella?	Puis-je emprunter ce parapluie ?
Can I borrow your computer?	Puis-je emprunter ton ordinateur ?
Can I borrow your computer?	Puis-je emprunter votre ordinateur ?
Can I borrow your scissors?	Puis-je emprunter vos ciseaux ?
Can I buy you another beer?	Puis-je t'offrir une autre bière ?
Can I buy you another beer?	Puis-je vous offrir une autre bière ?
Can I come some other time?	Puis-je venir à un autre moment ?
Can I get something to eat?	Puis-je avoir quelque chose à manger ?
Can I have a bit more milk?	Puis-je avoir un peu plus de lait ?
Can I have a word with you?	Puis-je te toucher un mot ?
Can I have my bicycle back?	Puis-je récupérer mon vélo ?
Can I make one observation?	Puis-je faire une remarque ?
Can I see you in my office?	Puis-je te voir dans mon bureau ?
Can I see you in my office?	Puis-je vous voir dans mon bureau ?
Can I watch your next game?	Puis-je regarder ton prochain jeu ?
Can someone give me a lift?	Quelqu'un peut-il m'amener en voiture ?
Can this car go any faster?	Cette voiture peut-elle aller plus vite ?
Can this wait till morning?	Cela peut-il attendre jusqu'au matin ?
Can we have a minute alone?	Pourrions-nous disposer d'une minute, seuls ?
Can we have a moment alone?	Pouvons-nous disposer d'un moment seuls ?
Can we have a moment alone?	Pouvons-nous disposer d'un moment seules ?
Can you answer this riddle?	Sais-tu résoudre cette énigme ?
Can you answer this riddle?	Sais-tu répondre à cette devinette ?
Can you call a taxi for me?	Pouvez-vous m'appeler un taxi ?
Can you clean your bedroom?	Peux-tu ranger ta chambre ?
Can you climb up that tree?	Peux-tu grimper sur cet arbre?
Can you climb up that tree?	Pouvez-vous grimper à cet arbre ?
Can you come over and talk?	Peux-tu venir discuter ?
Can you come over and talk?	Pouvez-vous venir discuter ?
Can you drive a five speed?	Sais-tu conduire avec une transmission manuelle ?
Can you drive a five speed?	Savez-vous conduire avec une transmission manuelle ?
Can you excuse me a second?	Peux-tu m'excuser une seconde ?
Can you excuse me a second?	Pouvez-vous m'excuser une seconde ?
Can you give him first aid?	Peux-tu lui donner les premiers soins ?
Can you give him first aid?	Pouvez-vous lui donner les premiers soins ?
Can you give me a discount?	Pouvez-vous m'accorder une remise ?
Can you give me a discount?	Pouvez-vous m'accorder un rabais ?
Can you give me an example?	Peux-tu me fournir un exemple ?
Can you lend me some money?	Pouvez-vous me prêter un peu d'argent ?
Can you play an instrument?	Sais-tu jouer d'un instrument ?
Can you play an instrument?	Savez-vous jouer d'un instrument ?
Can you push the door open?	Pourrais-tu pousser la porte pour l'ouvrir ?
Can you repair these shoes?	Pouvez-vous me réparer ces chaussures ?
Can you see the difference?	Peux-tu voir la différence ?
Can you slow down a little?	Peux-tu ralentir un peu ?
Can you slow down a little?	Pouvez-vous ralentir un peu ?
Can you solve this problem?	Pouvez-vous résoudre ce problème ?
Can you solve this problem?	Peux-tu résoudre ce problème ?
Can you speak Chinese well?	Parlez-vous bien chinois ?
Can you weigh this, please?	Pouvez-vous peser cela, s'il vous plait ?
Can't you just accept that?	Ne peux-tu simplement l'accepter ?
Can't you just accept that?	Ne pouvez-vous simplement l'accepter ?
Casualties were inevitable.	Les victimes furent inévitables.
Casualties were inevitable.	Les victimes ont été inévitables.
Cats are nocturnal animals.	Les chats sont des animaux nocturnes.
Cats don't like to get wet.	Les chats n'aiment pas se mouiller.
Check your answer with his.	Vérifiez votre réponse avec la sienne.
Children grow very quickly.	Les enfants grandissent très vite.
Christmas is December 25th.	Noël est le 25 décembre.
Classes begin at 8 o'clock.	Les cours commencent à 8 heures.
Classes will resume Monday.	Les cours reprendront lundi.
Come on, don't be a coward!	Viens, ne sois pas un lâche !
Come on, shake hands, boys!	Allez, serrez-vous la main les garçons !
Come over here and join us.	Viens ici et joins-toi à nous.
Come over here and join us.	Venez ici et joignez-vous à nous.
Come see me again tomorrow.	Revenez demain.
Corporations aren't people.	Les sociétés ne sont pas des gens.
Could I have a screwdriver?	Puis-je avoir un tournevis ?
Could I have some more tea?	Puis-je avoir encore un peu de thé ?
Could I make a reservation?	Pourrais-je faire une réservation ?
Could you be more specific?	Pourrais-tu être plus précis ?
Could you be more specific?	Pourriez-vous être plus précis ?
Could you give us a moment?	Pourriez-vous nous consacrer un moment ?
Could you lend me the book?	Tu pourrais me prêter le livre ?
Could you lend me the book?	Pourrais-tu me prêter le livre ?
Could you read this for me?	Est-ce que tu peux me lire ça ?
Could you read this for me?	Pourriez-vous me lire cela ?
Could you read this for me?	Pourrais-tu me lire ça ?
Could you send it by email?	Pouvez-vous l'envoyer par courrier électronique ?
Could you show me this bag?	Pouvez-vous me montrer ce sac ?
Could you stay and help me?	Pourrais-tu rester et m'aider ?
Could you stay and help me?	Pourriez-vous rester et m'aider ?
Could you stop saying that?	Pourriez-vous arrêter de dire cela?
Could you take our picture?	Pourrais-tu nous prendre en photo ?
Could you take our picture?	Pourriez-vous nous prendre en photo ?
Dad stretched after dinner.	Papa s'est étendu après le déjeuner.
Did I give you enough time?	T'ai-je laissé assez de temps ?
Did I give you enough time?	Vous ai-je laissé assez de temps ?
Did I give you enough time?	T'ai-je laissée assez de temps ?
Did I give you enough time?	Vous ai-je laissés assez de temps ?
Did I give you enough time?	Vous ai-je laissées assez de temps ?
Did I give you enough time?	Vous ai-je laissée assez de temps ?
Did I give you enough time?	Vous ai-je allouées assez de temps ?
Did I give you enough time?	Vous ai-je alloués assez de temps ?
Did I give you enough time?	Vous ai-je allouée assez de temps ?
Did I give you enough time?	Vous ai-je alloué assez de temps ?
Did I give you enough time?	T'ai-je allouée assez de temps ?
Did I give you enough time?	T'ai-je alloué assez de temps ?
Did I give you enough time?	T'ai-je allouée suffisamment de temps ?
Did I give you enough time?	T'ai-je alloué suffisamment de temps ?
Did I give you the tickets?	T'ai-je donné les places ?
Did I give you the tickets?	Vous ai-je donné les places ?
Did I say something stupid?	Ai-je dit quelque chose de stupide ?
Did he tell you what to do?	T'a-t-il dit quoi faire ?
Did he tell you what to do?	Vous a-t-il dit quoi faire ?
Did someone follow us here?	Quelqu'un nous a-t-il suivis ici ?
Did someone follow us here?	Quelqu'un nous a-t-il suivies ici ?
Did they say what happened?	Ont-ils dit ce qui s'est passé ?
Did they say what happened?	Ont-elles dit ce qui s'est passé ?
Did they say what happened?	Ont-ils dit ce qui s'est produit ?
Did they say what happened?	Ont-elles dit ce qui s'est produit ?
Did you bring a hair dryer?	As-tu apporté un sèche-cheveux ?
Did you buy a nice bicycle?	As-tu acheté un chouette vélo ?
Did you call me last night?	Tu m'as appelé hier soir ?
Did you call me last night?	M'as-tu appelée hier soir ?
Did you catch what he said?	As-tu capté ce qu'il a dit ?
Did you catch what he said?	As-tu saisi ce qu'il a dit ?
Did you catch what he said?	Avez-vous capté ce qu'il a dit ?
Did you catch what he said?	Avez-vous saisi ce qu'il a dit ?
Did you enjoy your holiday?	Vous êtes-vous bien amusés pendant vos vacances ?
Did you forget to buy eggs?	As-tu oublié d'acheter des œufs ?
Did you forget to buy eggs?	Avez-vous oublié d'acheter des œufs ?
Did you go to school today?	Es-tu allé à l'école aujourd'hui ?
Did you go to see a doctor?	Êtes-vous allé voir un médecin ?
Did you go to see a doctor?	Es-tu allé voir un toubib ?
Did you have a good summer?	Avez-vous passé un bel été ?
Did you have a good summer?	As-tu passé un bel été ?
Did you have a nice summer?	Avez-vous passé un bon été ?
Did you hear what Tom said?	As-tu entendu ce que Tom a dit ?
Did you open all the boxes?	As-tu ouvert toutes les caisses ?
Did you open all the boxes?	Avez-vous ouvert toutes les caisses ?
Did you pay for everything?	As-tu payé pour tout?
Did you pay for everything?	Avez-vous payé pour tout?
Did you receive the letter?	Avez-vous reçu la lettre ?
Did you see Tom that night?	As-tu vu Tom cette nuit ?
Did you see Tom that night?	Avez-vous vu Tom cette nuit-là ?
Did you see the transcript?	Avez-vous vu la transcription ?
Did you see the transcript?	As-tu vu la transcription ?
Did you see the transcript?	As-tu vu le relevé de notes ?
Did you see the transcript?	Avez-vous vu le relevé de notes ?
Did you turn the stove off?	As-tu éteint le four ?
Did you turn the stove off?	Avez-vous éteint le four ?
Did you want anything else?	Vous fallait-il quelque chose d'autre ?
Did you watch TV yesterday?	As-tu regardé la télévision hier ?
Did your mother make those?	Est-ce ta mère qui les a fait ?
Did your mother make those?	Est-ce ta mère qui a fait ceux-là ?
Did your mother make those?	Est-ce ta mère qui a fait celles-là ?
Didn't anyone question you?	Personne ne t'a-t-il interrogé ?
Didn't anyone question you?	Personne ne vous a-t-il interrogé ?
Didn't anyone question you?	Personne ne t'a-t-il questionné ?
Didn't anyone question you?	Personne ne vous a-t-il questionné ?
Didn't you feel like going?	N'avais-tu pas envie d'y aller ?
Didn't you feel like going?	N'avais-tu pas envie de t'y rendre ?
Didn't you feel like going?	N'aviez-vous pas envie d'y aller ?
Didn't you feel like going?	N'aviez-vous pas envie de vous y rendre ?
Didn't you hear me calling?	Ne m'avez-vous pas entendu appeler ?
Didn't you hear me calling?	Ne m'as-tu pas entendu appeler ?
Didn't you read the manual?	N'avez-vous pas lu le manuel ?
Didn't you read the manual?	N'as-tu pas lu le manuel ?
Do I have to come home now?	Dois-je venir à la maison maintenant ?
Do I have to make a speech?	Dois-je faire un discours ?
Do I need to go right away?	Dois-je y aller derechef ?
Do I need to go right away?	Dois-je partir de suite ?
Do all of you speak French?	Est-ce que vous parlez tous français ?
Do all of you speak French?	Parlez-vous tous français ?
Do we have to be so formal?	Faut-il que nous soyons si formels ?
Do we have to take the bus?	Devons-nous prendre le bus ?
Do we have to take the bus?	Devons-nous prendre le bus ?
Do we need them that badly?	En avons-nous tant besoin ?
Do we need to wait for her?	Avons-nous besoin de l'attendre ?
Do you accept credit cards?	Vous acceptez les cartes de crédit ?
Do you accept credit cards?	Acceptez-vous les cartes de crédits ?
Do you accept credit cards?	Vous acceptez des cartes de crédit ?
Do you believe in miracles?	Crois-tu aux miracles ?
Do you believe in miracles?	Croyez-vous aux miracles ?
Do you belong to any clubs?	Appartenez-vous à des clubs ?
Do you charge for delivery?	Faites-vous payer la livraison ?
Do you charge for delivery?	Fais-tu payer la livraison ?
Do you come here every day?	Viens-tu ici tous les jours ?
Do you go to school by bus?	Te rends-tu à l'école en bus ?
Do you go to school by bus?	Vous rendez-vous à l'école en bus ?
Do you have a cheaper room?	Avez-vous une chambre moins chère ?
Do you have a fishing boat?	Avez-vous un bateau de pêche ?
Do you have a mobile phone?	Disposes-tu d'un téléphone portable ?
Do you have a mobile phone?	Disposez-vous d'un téléphone portable ?
Do you have a smaller size?	Avez-vous une plus petite taille ?
Do you have a twin brother?	Avez-vous un frère jumeau ?
Do you have a twin brother?	As-tu un frère jumeau ?
Do you have an appointment?	Avez-vous un rendez-vous ?
Do you have an appointment?	Tu as rendez-vous ?
Do you have an appointment?	As-tu un rendez-vous ?
Do you have any complaints?	Veux-tu te plaindre de quoi que ce soit ?
Do you have any light beer?	Avez-vous quelque bière légère ?
Do you have fire insurance?	Avez-vous une assurance contre l'incendie ?
Do you have much snow here?	Avez-vous beaucoup de neige ici ?
Do you have psychic powers?	As-tu des pouvoirs psychiques ?
Do you have psychic powers?	Es-tu doté de pouvoirs psychiques ?
Do you have psychic powers?	Es-tu dotée de pouvoirs psychiques ?
Do you have psychic powers?	Êtes-vous doté de pouvoirs psychiques ?
Do you have psychic powers?	Êtes-vous dotée de pouvoirs psychiques ?
Do you have psychic powers?	Êtes-vous dotés de pouvoirs psychiques ?
Do you have psychic powers?	Êtes-vous dotées de pouvoirs psychiques ?
Do you know a good dentist?	Connais-tu un bon dentiste ?
Do you know his birthplace?	Savez-vous où il est né ?
Do you know how that feels?	Savez-vous ce qu'on ressent ?
Do you know how that feels?	Sais-tu ce qu'on ressent ?
Do you know how to do this?	Savez-vous comment faire ceci ?
Do you know how to do this?	Sais-tu comment faire ceci ?
Do you know how to program?	Savez-vous programmer ?
Do you know how to program?	Sais-tu programmer ?
Do you know how to whistle?	Savez-vous siffler ?
Do you know the difference?	Connaissez-vous la différence ?
Do you know the difference?	Connais-tu la différence ?
Do you know what day it is?	Sais-tu quel jour nous sommes ?
Do you know what they want?	Sais-tu ce qu'ils veulent ?
Do you know what they want?	Sais-tu ce qu'elles veulent ?
Do you know what they want?	Savez-vous ce qu'ils veulent ?
Do you know what they want?	Savez-vous ce qu'elles veulent ?
Do you know where he lives?	Sais-tu où il vit ?
Do you know who killed Tom?	Sais-tu qui a tué Tom ?
Do you know who killed Tom?	Savez-vous qui a tué Tom ?
Do you like Mozart's music?	Aimez-vous la musique de Mozart ?
Do you like my new clothes?	Est-ce que tu aimes mes nouveaux vêtements ?
Do you like my new clothes?	Aimez-vous mes nouveaux vêtements ?
Do you like my new haircut?	Aimes-tu ma nouvelle coupe de cheveux ?
Do you like my new haircut?	Aimes-tu ma nouvelle coupe ?
Do you like my new haircut?	Aimez-vous ma nouvelle coupe de cheveux ?
Do you like my new haircut?	Aimez-vous ma nouvelle coupe ?
Do you like playing sports?	Aimes-tu faire du sport ?
Do you like playing sports?	Aimez-vous faire du sport ?
Do you like your coworkers?	Aimes-tu tes collègues ?
Do you mind if I park here?	Voyez-vous un inconvénient à ce que je me gare ici ?
Do you mind if I park here?	Vois-tu un inconvénient à ce que je me gare ici ?
Do you mind if I stay here?	Vois-tu un inconvénient à ce que je reste ici ?
Do you mind if I stay here?	Voyez-vous un inconvénient à ce que je reste ici ?
Do you mind if I tag along?	Vois-tu un inconvénient à ce que je te suive ?
Do you mind if I tag along?	Voyez-vous un inconvénient à ce que je vous suive ?
Do you mind if we join you?	Vois-tu un inconvénient à ce que nous nous joignions à vous ?
Do you mind if we join you?	Vois-tu un inconvénient à ce que nous nous joignions à toi ?
Do you mind if we join you?	Voyez-vous un inconvénient à ce que nous nous joignions à vous ?
Do you mind if we sit down?	Vois-tu un inconvénient à ce que nous nous asseyions ?
Do you mind if we sit down?	Voyez-vous un inconvénient à ce que nous nous asseyions ?
Do you offer any day trips?	Proposez-vous des excursions d'une journée ?
Do you often hear from him?	As-tu souvent de ses nouvelles ?
Do you plan to go overseas?	Prévoyez-vous de vous rendre à l'étranger ?
